ticker,name,sector,industry,price,market_cap,eps0,eps1,eps2,eg1,eg2,pe1,pe2,peg1,peg2,pe_implausible,sector_pe1,sector_eg1,sector_pe1_mean
A,Agilent Technologies,Health Care,Life Sciences Tools & Services,148.4499969482422,41927021224.88611,4.2,4.092807424593968,3.988350622574168,-0.025522041763341084,-0.025522041763341104,36.2709459663789,37.2208993131174,,,False,26.111110051472984,0.13106796116504843,35.670037593695405
AA,Alcoa,Materials,Aluminum,51.709999084472656,13646757159.333689,4.63,6.945,10.4175,0.5000000000000001,0.5,7.445644216626732,4.9637628110844885,0.1489128843325346,0.09927525622168977,False,19.867320548497293,0.18077595481441627,23.483754427797003
AAL,American Airlines Group,Industrials,Passenger Airlines,14.43000030517578,9552226594.947195,0.2700000000000001,0.2700000000000001,,0.0,,53.444445574725094,,,,False,26.16367280461197,0.1419973073572504,33.292022761598915
AAMI,Acadian Asset Management Inc.,Financials,Asset Management & Custody Banks,92.98999786376952,3300226926.9049067,2.14,2.775515151515152,3.5997590449954098,0.2969696969696971,0.29696969696969716,33.503689508957045,25.832283967186502,1.1281854630567163,0.869862623384851,False,12.175904990939271,0.2321522761151244,16.818363553496667
AAON,AAON,Industrials,Building Products,88.08999633789062,7263340757.555756,1.72,1.436116504854369,1.1990875671599586,-0.16504854368932037,-0.16504854368932034,61.33903206329593,73.46418956418,,,False,26.16367280461197,0.1419973073572504,33.292022761598915
AAP,"Advance Auto Parts, Inc.",Consumer Discretionary,Automotive Retail,56.720001220703125,3420216073.6083984,1.02,1.53,2.295,0.5,0.49999999999999994,37.07189622268178,24.714597481787855,0.7414379244536355,0.4942919496357572,False,17.12461478795241,0.09201273225257235,23.63279043999208
AAPL,Apple Inc.,Information Technology,"Technology Hardware, Storage & Peripherals",305.5899963378906,4459835412754.517,8.44,10.20538681948424,12.340037930723064,0.20916905444126066,0.2091690544412608,29.943989556030818,24.764105106764823,1.431568815760926,1.1839277646932769,False,32.824054964173854,0.16017875776961116,46.8792043447928
AAT,American Assets Trust,Real Estate,Diversified REITs,22.64999961853028,1390504676.981217,0.29,0.145,0.0725,-0.5,-0.5,156.2068939208985,312.413787841797,,,False,24.37544947652672,0.18871373771277855,37.44019231073693
ABBV,AbbVie,Health Care,Biotechnology,250.3300018310547,442362473189.7384,3.54,5.3100000000000005,7.965000000000001,0.5000000000000001,0.5,47.14312652185587,31.42875101457058,0.9428625304371171,0.6285750202914115,False,26.111110051472984,0.13106796116504843,35.670037593695405
ABCB,Ameris Bancorp,Financials,Regional Banks,89.04000091552734,5975228621.998512,5.54,6.006183953033268,6.511596692720999,0.08414872798434446,0.08414872798434432,14.824720922934768,13.674065688844165,1.7617284631673633,1.6249878062789247,False,12.175904990939271,0.2321522761151244,16.818363553496667
ABG,Asbury Automotive Group,Consumer Discretionary,Automotive Retail,208.5399932861328,3743692650.6532135,31.4,45.47785977859778,65.86737993763701,0.44833948339483387,0.448339483394834,4.585527865677472,3.1660587301875025,0.10227802893815598,0.07061744163628092,False,17.12461478795241,0.09201273225257235,23.63279043999208
ABM,"ABM Industries, Inc.",Industrials,Environmental & Facilities Services,47.720001220703125,2795481717.069916,2.71,3.415860465116279,4.305572958355868,0.2604651162790698,0.26046511627906976,13.970126036479856,11.083310324144536,0.5363530531862801,0.4255199499448349,False,26.16367280461197,0.1419973073572504,33.292022761598915
